Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Vietnam,14.058323999999999,108.277199,1/22/20,0,0,0
,Vietnam,14.058323999999999,108.277199,1/23/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/24/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/25/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/26/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/27/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/28/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/29/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/30/20,2,0,0
,Vietnam,14.058323999999999,108.277199,1/31/20,2,0,0
,Vietnam,14.058323999999999,108.277199,2/1/20,6,0,1
,Vietnam,14.058323999999999,108.277199,2/2/20,6,0,1
,Vietnam,14.058323999999999,108.277199,2/3/20,8,0,1
,Vietnam,14.058323999999999,108.277199,2/4/20,8,0,1
,Vietnam,14.058323999999999,108.277199,2/5/20,8,0,1
,Vietnam,14.058323999999999,108.277199,2/6/20,10,0,1
,Vietnam,14.058323999999999,108.277199,2/7/20,10,0,1
,Vietnam,14.058323999999999,108.277199,2/8/20,13,0,1
,Vietnam,14.058323999999999,108.277199,2/9/20,13,0,1
,Vietnam,14.058323999999999,108.277199,2/10/20,14,0,1
,Vietnam,14.058323999999999,108.277199,2/11/20,15,0,6
,Vietnam,14.058323999999999,108.277199,2/12/20,15,0,6
,Vietnam,14.058323999999999,108.277199,2/13/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/14/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/15/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/16/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/17/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/18/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/19/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/20/20,16,0,7
,Vietnam,14.058323999999999,108.277199,2/21/20,16,0,14
,Vietnam,14.058323999999999,108.277199,2/22/20,16,0,14
,Vietnam,14.058323999999999,108.277199,2/23/20,16,0,14
,Vietnam,14.058323999999999,108.277199,2/24/20,16,0,14
,Vietnam,14.058323999999999,108.277199,2/25/20,16,0,16
,Vietnam,14.058323999999999,108.277199,2/26/20,16,0,16
,Vietnam,14.058323999999999,108.277199,2/27/20,16,0,16
,Vietnam,14.058323999999999,108.277199,2/28/20,16,0,16
,Vietnam,14.058323999999999,108.277199,2/29/20,16,0,16
,Vietnam,14.058323999999999,108.277199,3/1/20,16,0,16
,Vietnam,14.058323999999999,108.277199,3/2/20,16,0,16
,Vietnam,14.058323999999999,108.277199,3/3/20,16,0,16
,Vietnam,14.058323999999999,108.277199,3/4/20,16,0,16
,Vietnam,14.058323999999999,108.277199,3/5/20,16,0,16
,Vietnam,14.058323999999999,108.277199,3/6/20,16,0,16
,Vietnam,14.058323999999999,108.277199,3/7/20,18,0,16
,Vietnam,14.058323999999999,108.277199,3/8/20,30,0,16
,Vietnam,14.058323999999999,108.277199,3/9/20,30,0,16
,Vietnam,14.058323999999999,108.277199,3/10/20,31,0,16
,Vietnam,14.058323999999999,108.277199,3/11/20,38,0,16
,Vietnam,14.058323999999999,108.277199,3/12/20,39,0,16
,Vietnam,14.058323999999999,108.277199,3/13/20,47,0,16
,Vietnam,14.058323999999999,108.277199,3/14/20,53,0,16
,Vietnam,14.058323999999999,108.277199,3/15/20,56,0,16
,Vietnam,14.058323999999999,108.277199,3/16/20,61,0,16
,Vietnam,14.058323999999999,108.277199,3/17/20,66,0,16
,Vietnam,14.058323999999999,108.277199,3/18/20,75,0,16
,Vietnam,14.058323999999999,108.277199,3/19/20,85,0,16
,Vietnam,14.058323999999999,108.277199,3/20/20,91,0,16
,Vietnam,14.058323999999999,108.277199,3/21/20,94,0,17
,Vietnam,14.058323999999999,108.277199,3/22/20,113,0,17
,Vietnam,14.058323999999999,108.277199,3/23/20,123,0,17
,Vietnam,14.058323999999999,108.277199,3/24/20,134,0,17
,Vietnam,14.058323999999999,108.277199,3/25/20,141,0,17
,Vietnam,14.058323999999999,108.277199,3/26/20,153,0,20
,Vietnam,14.058323999999999,108.277199,3/27/20,163,0,20
,Vietnam,14.058323999999999,108.277199,3/28/20,174,0,21
,Vietnam,14.058323999999999,108.277199,3/29/20,188,0,25
,Vietnam,14.058323999999999,108.277199,3/30/20,203,0,55
,Vietnam,14.058323999999999,108.277199,3/31/20,212,0,58
,Vietnam,14.058323999999999,108.277199,4/1/20,218,0,63
,Vietnam,14.058323999999999,108.277199,4/2/20,233,0,75
,Vietnam,14.058323999999999,108.277199,4/3/20,237,0,85
,Vietnam,14.058323999999999,108.277199,4/4/20,240,0,90
,Vietnam,14.058323999999999,108.277199,4/5/20,241,0,90
,Vietnam,14.058323999999999,108.277199,4/6/20,245,0,95
,Vietnam,14.058323999999999,108.277199,4/7/20,249,0,123
,Vietnam,14.058323999999999,108.277199,4/8/20,251,0,126
,Vietnam,14.058323999999999,108.277199,4/9/20,255,0,128
,Vietnam,14.058323999999999,108.277199,4/10/20,257,0,144
,Vietnam,14.058323999999999,108.277199,4/11/20,258,0,144
