Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Zambia,-13.133897,27.849332,1/22/20,0,0,0
,Zambia,-13.133897,27.849332,1/23/20,0,0,0
,Zambia,-13.133897,27.849332,1/24/20,0,0,0
,Zambia,-13.133897,27.849332,1/25/20,0,0,0
,Zambia,-13.133897,27.849332,1/26/20,0,0,0
,Zambia,-13.133897,27.849332,1/27/20,0,0,0
,Zambia,-13.133897,27.849332,1/28/20,0,0,0
,Zambia,-13.133897,27.849332,1/29/20,0,0,0
,Zambia,-13.133897,27.849332,1/30/20,0,0,0
,Zambia,-13.133897,27.849332,1/31/20,0,0,0
,Zambia,-13.133897,27.849332,2/1/20,0,0,0
,Zambia,-13.133897,27.849332,2/2/20,0,0,0
,Zambia,-13.133897,27.849332,2/3/20,0,0,0
,Zambia,-13.133897,27.849332,2/4/20,0,0,0
,Zambia,-13.133897,27.849332,2/5/20,0,0,0
,Zambia,-13.133897,27.849332,2/6/20,0,0,0
,Zambia,-13.133897,27.849332,2/7/20,0,0,0
,Zambia,-13.133897,27.849332,2/8/20,0,0,0
,Zambia,-13.133897,27.849332,2/9/20,0,0,0
,Zambia,-13.133897,27.849332,2/10/20,0,0,0
,Zambia,-13.133897,27.849332,2/11/20,0,0,0
,Zambia,-13.133897,27.849332,2/12/20,0,0,0
,Zambia,-13.133897,27.849332,2/13/20,0,0,0
,Zambia,-13.133897,27.849332,2/14/20,0,0,0
,Zambia,-13.133897,27.849332,2/15/20,0,0,0
,Zambia,-13.133897,27.849332,2/16/20,0,0,0
,Zambia,-13.133897,27.849332,2/17/20,0,0,0
,Zambia,-13.133897,27.849332,2/18/20,0,0,0
,Zambia,-13.133897,27.849332,2/19/20,0,0,0
,Zambia,-13.133897,27.849332,2/20/20,0,0,0
,Zambia,-13.133897,27.849332,2/21/20,0,0,0
,Zambia,-13.133897,27.849332,2/22/20,0,0,0
,Zambia,-13.133897,27.849332,2/23/20,0,0,0
,Zambia,-13.133897,27.849332,2/24/20,0,0,0
,Zambia,-13.133897,27.849332,2/25/20,0,0,0
,Zambia,-13.133897,27.849332,2/26/20,0,0,0
,Zambia,-13.133897,27.849332,2/27/20,0,0,0
,Zambia,-13.133897,27.849332,2/28/20,0,0,0
,Zambia,-13.133897,27.849332,2/29/20,0,0,0
,Zambia,-13.133897,27.849332,3/1/20,0,0,0
,Zambia,-13.133897,27.849332,3/2/20,0,0,0
,Zambia,-13.133897,27.849332,3/3/20,0,0,0
,Zambia,-13.133897,27.849332,3/4/20,0,0,0
,Zambia,-13.133897,27.849332,3/5/20,0,0,0
,Zambia,-13.133897,27.849332,3/6/20,0,0,0
,Zambia,-13.133897,27.849332,3/7/20,0,0,0
,Zambia,-13.133897,27.849332,3/8/20,0,0,0
,Zambia,-13.133897,27.849332,3/9/20,0,0,0
,Zambia,-13.133897,27.849332,3/10/20,0,0,0
,Zambia,-13.133897,27.849332,3/11/20,0,0,0
,Zambia,-13.133897,27.849332,3/12/20,0,0,0
,Zambia,-13.133897,27.849332,3/13/20,0,0,0
,Zambia,-13.133897,27.849332,3/14/20,0,0,0
,Zambia,-13.133897,27.849332,3/15/20,0,0,0
,Zambia,-13.133897,27.849332,3/16/20,0,0,0
,Zambia,-13.133897,27.849332,3/17/20,0,0,0
,Zambia,-13.133897,27.849332,3/18/20,2,0,0
,Zambia,-13.133897,27.849332,3/19/20,2,0,0
,Zambia,-13.133897,27.849332,3/20/20,2,0,0
,Zambia,-13.133897,27.849332,3/21/20,2,0,0
,Zambia,-13.133897,27.849332,3/22/20,3,0,0
,Zambia,-13.133897,27.849332,3/23/20,3,0,0
,Zambia,-13.133897,27.849332,3/24/20,3,0,0
,Zambia,-13.133897,27.849332,3/25/20,12,0,0
,Zambia,-13.133897,27.849332,3/26/20,16,0,0
,Zambia,-13.133897,27.849332,3/27/20,22,0,0
,Zambia,-13.133897,27.849332,3/28/20,28,0,0
,Zambia,-13.133897,27.849332,3/29/20,29,0,0
,Zambia,-13.133897,27.849332,3/30/20,35,0,0
,Zambia,-13.133897,27.849332,3/31/20,35,0,0
,Zambia,-13.133897,27.849332,4/1/20,36,0,0
,Zambia,-13.133897,27.849332,4/2/20,39,1,0
,Zambia,-13.133897,27.849332,4/3/20,39,1,2
,Zambia,-13.133897,27.849332,4/4/20,39,1,2
,Zambia,-13.133897,27.849332,4/5/20,39,1,3
,Zambia,-13.133897,27.849332,4/6/20,39,1,5
,Zambia,-13.133897,27.849332,4/7/20,39,1,7
,Zambia,-13.133897,27.849332,4/8/20,39,1,7
,Zambia,-13.133897,27.849332,4/9/20,39,1,24
