,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-22,-8385.014594957396,-161075.55268866266,114642.84225425165,-8385.014594957396,-8385.014594957396,-7006.208342777242,-7006.208342777242,-7006.208342777242,-7006.208342777242,-7006.208342777242,-7006.208342777242,0.0,0.0,0.0,-15391.222937734638
1,2020-01-23,-5659.222760549069,-133056.09818418958,143913.59632614395,-5659.222760549068,-5659.222760549069,148.08121888605717,148.08121888605717,148.08121888605717,148.08121888605717,148.08121888605717,148.08121888605717,0.0,0.0,0.0,-5511.141541663012
2,2020-01-24,-2933.4309261407416,-99516.13661839915,145200.07513638324,-2933.4309261407416,-2933.4309261407416,14138.298516659675,14138.298516659675,14138.298516659675,14138.298516659675,14138.298516659675,14138.298516659675,0.0,0.0,0.0,11204.867590518934
3,2020-01-25,-207.6390917324165,-129403.4180124318,140126.87113233752,-207.6390917324165,-207.6390917324165,16296.429360892882,16296.429360892882,16296.429360892882,16296.429360892882,16296.429360892882,16296.429360892882,0.0,0.0,0.0,16088.790269160465
4,2020-01-26,2518.152742675912,-131993.9586768743,131325.57724032088,2518.152742675912,2518.152742675912,2080.222820999255,2080.222820999255,2080.222820999255,2080.222820999255,2080.222820999255,2080.222820999255,0.0,0.0,0.0,4598.375563675167
5,2020-01-27,5243.944577084236,-136018.36916035856,122297.41378138193,5243.944577084236,5243.944577084236,-10999.42501951428,-10999.42501951428,-10999.42501951428,-10999.42501951428,-10999.42501951428,-10999.42501951428,0.0,0.0,0.0,-5755.480442430044
6,2020-01-28,7969.736411492562,-129265.75052496897,138692.99613705353,7969.736411492562,7969.736411492562,-14657.398555102152,-14657.398555102152,-14657.398555102152,-14657.398555102152,-14657.398555102152,-14657.398555102152,0.0,0.0,0.0,-6687.66214360959
7,2020-01-29,10695.528245900889,-156162.02600546757,141228.72823816107,10695.528245900889,10695.528245900889,-7006.208342773738,-7006.208342773738,-7006.208342773738,-7006.208342773738,-7006.208342773738,-7006.208342773738,0.0,0.0,0.0,3689.3199031271506
8,2020-01-30,13421.320080309219,-117300.34981586644,138272.7538706293,13421.320080309219,13421.320080309219,148.08121889114307,148.08121889114307,148.08121889114307,148.08121889114307,148.08121889114307,148.08121889114307,0.0,0.0,0.0,13569.40129920036
9,2020-01-31,16147.106233425293,-103566.0434062616,171073.6599261848,16147.106233425293,16147.106233425293,14138.298516615987,14138.298516615987,14138.298516615987,14138.298516615987,14138.298516615987,14138.298516615987,0.0,0.0,0.0,30285.404750041278
