,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-22,-2773.869621801801,-30906.946203922256,22216.838757040787,-2773.8696218018003,-2773.869621801801,-1162.1348354375586,-1162.1348354375586,-1162.1348354375586,-1162.1348354375586,-1162.1348354375586,-1162.1348354375586,0.0,0.0,0.0,-3936.0044572393595
1,2020-01-23,-2410.8129875982454,-29361.973440720052,24427.27295301287,-2410.812987598245,-2410.8129875982454,1119.7321423648714,1119.7321423648714,1119.7321423648714,1119.7321423648714,1119.7321423648714,1119.7321423648714,0.0,0.0,0.0,-1291.080845233374
2,2020-01-24,-2047.7563533946911,-26684.940104163405,26170.244611996786,-2047.756353394691,-2047.7563533946911,2144.4135739073263,2144.4135739073263,2144.4135739073263,2144.4135739073263,2144.4135739073263,2144.4135739073263,0.0,0.0,0.0,96.65722051263515
3,2020-01-25,-1684.6997191911364,-27122.869671609853,29431.964353381045,-1684.6997191911364,-1684.6997191911364,2142.3483053036352,2142.3483053036352,2142.3483053036352,2142.3483053036352,2142.3483053036352,2142.3483053036352,0.0,0.0,0.0,457.64858611249883
4,2020-01-26,-1321.6423687305878,-24140.982308360282,24395.140308673585,-1321.6423687305878,-1321.6423687305878,1285.1326329960466,1285.1326329960466,1285.1326329960466,1285.1326329960466,1285.1326329960466,1285.1326329960466,0.0,0.0,0.0,-36.50973573454121
5,2020-01-27,-958.5850182700395,-29350.09798343,25265.28494377859,-958.5850182700394,-958.5850182700395,-2834.6943742845406,-2834.6943742845406,-2834.6943742845406,-2834.6943742845406,-2834.6943742845406,-2834.6943742845406,0.0,0.0,0.0,-3793.27939255458
6,2020-01-28,-595.5276678094915,-29042.387184504147,20215.51058925302,-595.5276678094915,-595.5276678094915,-2694.797444854728,-2694.797444854728,-2694.797444854728,-2694.797444854728,-2694.797444854728,-2694.797444854728,0.0,0.0,0.0,-3290.3251126642194
7,2020-01-29,-232.47031757826454,-31771.81835290056,21799.612130936803,-232.47031757826454,-232.47031757826454,-1162.134835432096,-1162.134835432096,-1162.134835432096,-1162.134835432096,-1162.134835432096,-1162.134835432096,0.0,0.0,0.0,-1394.6051530103605
8,2020-01-30,130.5870326529615,-26460.701415493666,27910.685232981614,130.5870326529615,130.5870326529615,1119.7321423684757,1119.7321423684757,1119.7321423684757,1119.7321423684757,1119.7321423684757,1119.7321423684757,0.0,0.0,0.0,1250.3191750214373
9,2020-01-31,493.644382884188,-25245.11744923645,30562.067005384968,493.64438288418796,493.644382884188,2144.4135739086905,2144.4135739086905,2144.4135739086905,2144.4135739086905,2144.4135739086905,2144.4135739086905,0.0,0.0,0.0,2638.0579567928785
10,2020-02-01,856.7017331154141,-22684.79040178044,29051.005679606897,856.7017331154141,856.7017331154141,2142.348305305406,2142.348305305406,2142.348305305406,2142.348305305406,2142.348305305406,2142.348305305406,0.0,0.0,0.0,2999.05003842082
11,2020-02-02,1219.7609198059897,-23687.2458125146,30800.639460948383,1219.7609198059895,1219.7609198059897,1285.1326329941537,1285.1326329941537,1285.1326329941537,1285.1326329941537,1285.1326329941537,1285.1326329941537,0.0,0.0,0.0,2504.8935528001434
12,2020-02-03,1582.8201064965644,-29180.859579631702,25934.561829285114,1582.8201064965644,1582.8201064965644,-2834.6943742759086,-2834.6943742759086,-2834.6943742759086,-2834.6943742759086,-2834.6943742759086,-2834.6943742759086,0.0,0.0,0.0,-1251.874267779344
13,2020-02-04,1945.879293187139,-25973.174254091642,26119.944176032946,1945.879293187139,1945.879293187139,-2694.7974448542745,-2694.7974448542745,-2694.7974448542745,-2694.7974448542745,-2694.7974448542745,-2694.7974448542745,0.0,0.0,0.0,-748.9181516671356
